
18.72	21.50	1	9.33	0.173
10.61	14.00	2	5.08	0.030
11.82	22.40	1	6.25	0.064
13.38	14.04	2	6.46	0.056
7.88	10.27	1	4.05	0.013
16.13	15.85	1	7.58	0.092
18.98	13.53	2	7.30	0.106
26.42	14.68	2	11.37	0.235
35.07	17.78	1	14.54	0.474
21.23	17.84	1	9.41	0.175
24.42	15.79	1	11.37	0.224
28.59	21.86	1	13.55	0.425
9.47	10.59	1	4.19	0.019
25.33	12.44	2	10.35	0.183
23.34	15.44	1	10.52	0.193
16.99	10.57	1	7.38	0.075
12.64	13.10	2	5.24	0.043
8.65	16.24	2	4.26	0.028
14.47	18.33	1	7.28	0.091
14.82	14.76	2	6.26	0.069
23.09	11.94	2	8.22	0.134
25.44	20.34	1	11.62	0.291
31.51	14.47	2	12.41	0.333
18.11	18.77	1	8.32	0.137
20.11	11.89	2	8.38	0.106
13.82	13.18	2	6.25	0.051
17.17	18.31	1	8.90	0.114
29.89	28.24	1	15.35	0.599
17.41	21.55	1	9.23	0.150
31.51	14.50	2	12.27	0.326
23.34	15.48	1	10.41	0.189
10.61	14.02	2	5.03	0.029
35.07	17.81	1	14.39	0.464
